2020,Lejos de Casa pelicula Venezolana
2019,Suvarna Sundari
2018,The Transcendents
2017,Notuku Potu
2016,Natsamrat
2015,Katyar Kaljat Ghusali
2014,The Crucible
2013,The Best Years
2012,All You Can Dream
2011,The Phantom of the Opera at the Royal Albert Hall
2010,Hopeful Notes
2009,Monpura
2008,Il cavaliere oscuro
2007,Stelle sulla Terra
2006,The Departed - Il bene e il male
2005,Moussaka & Chips
2004,Black Friday
2003,Il Signore degli Anelli - Il ritorno del re
2002,Il Signore degli Anelli - Le due torri
2001,Il Signore degli Anelli - La compagnia dell'Anello
2000,Dr. Babasaheb Ambedkar
1999,Fight Club
1998,Lajanje na zvezde
1997,La vita è bella
1996,Dipu Number 2
1995,Om
1994,Le ali della libertà
1993,Schindler's List
1992,Ramayana: The Legend of Prince Rama
1991,Sandesham
1990,Quei bravi ragazzi
1989,Kireedam
1988,Vchera
1987,I moromete
1986,Pallati 176
1985,Zügürt Aga
1984,Opasen char
1983,Le montagne blu
1982,Maratonci trce pocasni krug
1981,Orkestar bez ime
1980,Ko to tamo peva
1979,Voynata na taralezhite
1978,Kibar Feyzo
1977,Hababam Sinifi Uyaniyor
1976,Hababam Sinifi Sinifta Kaldi
1975,Hababam Sinifi
1974,Il padrino - Parte II
1973,Canim Kardesim
1972,Il padrino
1971,B.D. în alertã
1970,Jibon Theke Neya
1969,A tanú
1968,C'era una volta il West
1967,Una vergine da rubare
1966,"Il buono, il brutto, il cattivo"
1965,Operatsiya 'Y' i drugie priklyucheniya Shurika
1964,Il padre del soldato
1963,Tis kakomoiras
1962,Gundamma Katha
1961,Ningen no jôken
1960,Psyco
1959,Il mondo di Apu
1958,Sangue al km.148
1957,Maya Bazaar
1956,"O Olmasin, Bu Olsun"
1955,Il lamento sul sentiero
1954,I sette samurai
1953,Due ettari di terra
1952,Vivere
1951,Pathala Bhairavi
1950,Viale del tramonto
1949,Tarda primavera
1948,Ladri di biciclette
1947,Le catene della colpa
1946,La vita è meravigliosa
1945,Amanti perduti
1944,La fiamma del peccato
1943,Duello a Berlino
1942,Casablanca
1941,Quarto potere
1940,Il grande dittatore
1939,Via col vento
1938,La leggenda di Robin Hood
1937,La grande illusione
1936,Tempi moderni
1935,Una notte all'opera
1934,I miserabili
1933,Il testamento del dottor Mabuse
1932,Io sono un evaso
1931,Luci della città
1930,All'ovest niente di nuovo
1929,Il vaso di Pandora
1928,Il cameraman
1927,Metropolis
1926,Faust
1925,La febbre dell'oro
1924,La palla n° 13
1923,Preferisco l'ascensore
1922,Nosferatu - Il vampiro
1921,Il monello
1920,Il gabinetto del dottor Caligari
1919,Per la patria
1918,I proscritti
1917,Terje Vigen
1916,Intolerance
1915,I vampiri
1914,Cabiria
1913,L'enfant de Paris
1912,Le mystère des roches de Kador
1911,L'Inferno
1906,The Story of the Kelly Gang
1894,Miss Jerry
