USA,18468
UK,3528
France,2949
Italy,2685
India,1947
Japan,1451
Canada,1069
Hong Kong,1039
Spain,906
Soviet Union,752
Germany,737
West Germany,585
Sweden,491
Australia,442
Greece,436
Turkey,433
Denmark,400
Mexico,394
Poland,330
Brazil,315
Finland,307
Yugoslavia,292
Czechoslovakia,282
Hungary,268
Netherlands,248
South Korea,248
Argentina,243
Iran,175
Norway,174
Romania,174
Russia,163
Belgium,143
Taiwan,141
China,137
Egypt,133
Switzerland,127
Austria,103
Israel,103
Philippines,99
Portugal,96
Czech Republic,94
Ireland,82
Bulgaria,75
South Africa,74
Federal Republic of Yugoslavia,69
New Zealand,69
East Germany,60
Iceland,37
Indonesia,35
Chile,35
Thailand,32
Croatia,32
Colombia,23
Cuba,21
Peru,18
Slovenia,18
Singapore,17
Serbia,17
Estonia,13
Senegal,12
Ukraine,10
Bangladesh,10
Venezuela,10
Bolivia,9
Republic of North Macedonia,9
Jamaica,9
Vietnam,8
Tunisia,8
Slovakia,7
Burkina Faso,6
Latvia,6
Kazakhstan,6
Algeria,6
Albania,6
Pakistan,5
Luxembourg,5
Sri Lanka,5
Lebanon,5
Bosnia and Herzegovina,5
Puerto Rico,4
Uruguay,4
Aruba,4
North Korea,4
Mali,4
Dominican Republic,4
Georgia,3
Lithuania,3
Liechtenstein,3
Tajikistan,3
Kyrgyzstan,2
Armenia,2
Angola,2
Syria,2
Iraq,2
Moldova,1
Zambia,1
Bahamas,1
Gibraltar,1
Nicaragua,1
Nepal,1
Malaysia,1
Palestine,1
Bhutan,1
North Vietnam,1
Malta,1
Ethiopia,1
Guatemala,1
Libya,1
Afghanistan,1
Greenland,1
Guinea,1
Costa Rica,1
Serbia and Montenegro,1
Ecuador,1
Isle Of Man,1
Mozambique,1
Suriname,1
Morocco,1
Kuwait,1
Côte d'Ivoire,1
